id,CONCAT_buildUpPlayPositioningClass,CONCAT_chanceCreationPositioningClass,CONCAT_defenceDefenderLineClass,DELTA_buildUpPlayPassing,DELTA_buildUpPlaySpeed,DELTA_chanceCreationCrossing,DELTA_chanceCreationPassing,DELTA_chanceCreationShooting,DELTA_defenceAggression,DELTA_defencePressure,DELTA_defenceTeamWidth,Month_match,buildUpPlayPassing_1,buildUpPlaySpeed_1,chanceCreationCrossing_1,chanceCreationPassing_1,chanceCreationShooting_1,defenceAggression_1,defencePressure_1,defenceTeamWidth_1,RESULT
22075,3,0,0,0,-34,-15,-15,0,-4,-30,-10,3,30,64,50,65,70,34,70,55,3
22069,1,0,1,10,-9,20,15,0,20,5,-10,3,30,64,35,55,70,30,65,70,3
22072,2,2,3,5,5,40,-10,-5,5,0,5,3,40,55,30,45,60,65,30,30,1
22076,0,0,2,-25,-15,-10,-15,5,5,10,10,3,55,45,70,70,65,55,45,50,3
22082,2,2,3,10,10,-20,30,15,0,40,20,3,45,60,70,35,55,70,30,35,3
22083,2,3,0,-5,-10,10,-15,20,-10,-5,5,3,40,40,40,50,50,40,45,45,1
22080,0,1,0,0,0,15,40,5,35,25,20,3,30,30,45,30,65,35,35,45,3
22085,1,1,1,25,15,35,20,-5,25,5,5,3,30,30,35,50,70,30,40,45,3
22079,2,2,3,-10,-25,-25,-25,-5,-20,-20,-15,3,40,55,55,70,70,50,70,60,1
22081,1,0,1,10,0,-30,-25,-10,25,-35,-35,3,30,55,60,70,70,40,65,65,2
22087,2,2,3,-10,5,0,5,0,0,25,-15,3,55,60,45,40,70,65,45,45,1
22078,0,1,2,0,34,0,10,0,-20,20,25,3,30,30,35,45,70,50,45,45,1
22086,3,1,0,0,12,-20,10,0,-30,15,10,3,30,30,60,55,70,60,55,60,1
22084,0,3,2,-5,29,-15,20,15,-31,40,0,3,35,35,65,45,55,65,30,55,1
22090,1,0,1,10,25,-5,0,0,-20,10,-5,3,30,30,60,70,70,70,60,65,1
22093,2,0,1,10,30,20,0,-15,40,-10,-15,3,35,30,50,35,70,30,40,50,3
22089,2,2,3,0,0,5,0,5,20,-5,0,3,30,30,30,45,65,30,50,45,1
22092,0,1,2,-25,-15,10,5,0,-30,-5,10,3,55,70,50,65,70,70,70,55,1
22091,2,2,2,-10,-25,15,-15,5,-30,5,15,3,40,55,30,45,60,65,30,30,2
22096,3,0,0,0,-12,-5,-15,0,0,-30,-25,3,30,42,40,65,70,30,70,70,2
22095,2,3,3,-20,-10,-5,-25,-10,10,-15,5,3,55,45,70,70,65,55,45,50,2
22097,0,2,2,-15,-35,15,10,0,-5,-15,30,3,45,65,45,45,70,65,70,30,1
22094,1,3,0,10,-24,-10,-15,-20,6,-25,-10,3,30,64,50,65,70,34,70,55,1
22088,1,0,1,25,-4,10,-15,0,35,-20,-25,3,30,64,35,55,70,30,65,70,1
22101,2,2,1,25,40,5,35,5,35,35,10,3,30,30,45,30,65,35,35,45,1
22099,0,1,2,0,0,25,25,0,20,15,20,3,30,30,35,45,70,50,45,45,3
22105,0,3,2,-5,7,-25,20,15,-35,40,15,3,35,35,65,45,55,65,30,55,1
22106,1,2,1,15,35,10,-5,0,35,30,-15,3,30,30,35,50,70,30,40,45,1
22100,2,2,3,0,0,-25,-25,-10,15,-40,-30,3,40,55,55,70,70,50,70,60,3
22104,2,3,1,15,5,30,20,15,15,0,5,3,40,40,40,50,50,40,45,45,3
22107,0,2,2,-25,-30,15,15,0,-5,10,15,3,55,60,45,40,70,65,45,45,1
22098,1,0,1,0,-34,-5,-10,-5,0,-15,-25,3,30,64,35,55,70,30,65,70,3
22103,0,1,2,-15,4,-20,30,15,-36,40,20,3,45,60,70,35,55,70,30,35,1
22102,1,3,0,5,-25,-10,-35,0,-10,-25,-15,3,30,55,60,70,70,40,65,65,2
22115,1,3,0,10,-2,0,-15,-20,10,-25,-25,3,30,42,40,65,70,30,70,70,2
22108,2,2,3,25,30,15,-5,5,35,-5,0,3,30,30,30,45,65,30,50,45,3
22117,3,2,0,0,0,-25,-5,0,-30,-15,-15,3,30,30,60,55,70,60,55,60,1
22109,3,3,0,0,34,-25,-15,0,-40,5,5,3,30,30,60,70,70,70,60,65,1
22112,2,0,0,-5,0,-5,-5,-5,5,-5,-5,3,35,30,50,35,70,30,40,50,2
22116,2,1,3,-10,-30,20,0,-15,0,-40,25,3,45,65,45,45,70,65,70,30,1
22111,2,2,3,-15,-15,5,5,0,-20,0,5,3,55,70,50,65,70,70,70,55,3
22113,3,3,0,0,-9,10,5,0,6,-5,10,3,30,64,50,65,70,34,70,55,1
22110,2,2,3,-10,-25,5,0,10,-15,15,15,3,40,55,30,45,60,65,30,30,1
22114,2,0,3,-10,15,0,-35,-10,15,-15,-15,3,55,45,70,70,65,55,45,50,1
22134,0,1,2,-15,-18,-30,30,15,-40,40,35,4,45,60,70,35,55,70,30,35,1
22137,0,2,2,-25,-30,-10,10,0,-35,-5,0,4,55,60,45,40,70,65,45,45,1
22128,0,1,2,0,0,30,25,5,40,10,20,4,30,30,30,45,65,30,50,45,1
22136,0,0,2,-5,-5,-5,10,15,-5,25,5,4,35,35,65,45,55,65,30,55,1
22131,2,1,2,-5,-25,-5,-35,0,-20,-30,-10,4,40,55,55,70,70,50,70,60,3
22133,1,3,1,25,-10,10,0,-5,15,-20,-15,4,30,55,60,70,70,40,65,65,2
22135,2,0,1,5,25,5,-5,20,25,25,-15,4,40,40,40,50,50,40,45,45,3
22132,0,1,0,0,34,5,35,5,-1,35,10,4,30,30,45,30,65,35,35,45,1
22130,2,2,3,25,40,15,20,0,20,25,10,4,30,30,35,45,70,50,45,45,3
22129,1,0,1,10,-9,-5,-10,-10,35,-35,-40,4,30,64,35,55,70,30,65,70,2
22138,1,0,1,25,30,-15,-30,0,-5,-15,-20,4,30,30,60,70,70,70,60,65,2
22141,2,0,1,-5,0,-15,10,0,20,5,-5,4,35,30,50,35,70,30,40,50,2
22144,3,3,0,0,13,20,5,0,10,-5,-5,4,30,42,40,65,70,30,70,70,2
22140,0,1,2,-25,-6,-15,-10,0,-40,-5,15,4,55,70,50,65,70,70,70,55,1
22139,2,2,3,-10,-25,0,0,5,-35,20,15,4,40,55,30,45,60,65,30,30,3
22147,1,1,1,5,5,30,-5,-15,35,-10,10,4,30,30,35,50,70,30,40,45,1
22143,2,0,2,-25,-15,-25,-40,0,-20,-10,-5,4,55,45,70,70,65,55,45,50,3
22145,2,2,3,0,-5,25,-10,-15,5,-40,5,4,45,65,45,45,70,65,70,30,1
22142,1,0,1,10,-9,5,5,0,16,0,5,4,30,64,50,65,70,34,70,55,1
22146,1,1,0,10,10,-20,-5,-20,-20,-10,-15,4,30,30,60,55,70,60,55,60,1
22148,1,0,1,10,25,-30,-25,-10,-5,-30,-35,4,30,30,60,70,70,70,60,65,1
22149,2,2,3,25,40,20,20,5,40,20,10,4,30,30,30,45,65,30,50,45,2
22150,1,3,0,5,-34,15,-20,0,0,-25,-20,4,30,64,35,55,70,30,65,70,1
22152,2,1,3,15,-10,15,0,-5,5,-25,-10,4,40,55,55,70,70,50,70,60,1
22156,0,0,0,-10,-10,-5,0,20,-10,-5,0,4,40,40,40,50,50,40,45,45,3
22153,0,1,0,0,12,-5,35,5,-5,35,25,4,30,30,45,30,65,35,35,45,1
22157,2,1,3,-20,-25,20,5,-15,0,-15,10,4,55,60,45,40,70,65,45,45,3
22151,0,1,2,0,34,15,20,0,-16,25,10,4,30,30,35,45,70,50,45,45,2
22155,0,2,2,-15,-30,-10,20,15,-10,25,25,4,45,60,70,35,55,70,30,35,1
22154,1,0,1,15,10,-15,-25,0,25,5,-35,4,30,55,60,70,70,40,65,65,2
22163,1,0,1,10,13,15,5,0,20,0,-10,4,30,42,40,65,70,30,70,70,3
22159,0,1,2,-25,-40,10,5,0,0,-10,10,4,55,70,50,65,70,70,70,55,1
22161,3,3,0,0,0,-15,-10,0,-4,-5,15,4,30,64,50,65,70,34,70,55,1
22160,2,0,1,-5,0,-20,10,-5,0,10,-5,4,35,30,50,35,70,30,40,50,1
22166,1,2,1,15,30,35,-15,-15,40,-10,-10,4,30,30,35,50,70,30,40,45,3
22162,2,0,3,-25,-15,-35,-25,5,-5,0,-5,4,55,45,70,70,65,55,45,50,3
22164,2,2,2,-15,-35,0,-15,-5,-30,-35,15,4,45,65,45,45,70,65,70,30,3
22165,3,1,0,0,25,0,15,0,-20,10,5,4,30,30,60,55,70,60,55,60,1
22158,2,2,3,15,5,15,-5,10,0,15,15,4,40,55,30,45,60,65,30,30,3
22167,2,3,2,5,5,-25,5,-5,-25,15,-10,4,35,35,65,45,55,65,30,55,1
22175,3,0,0,0,-25,-25,-20,0,-10,-25,-20,4,30,55,60,70,70,40,65,65,2
22174,0,2,0,0,0,15,25,5,25,20,15,4,30,30,45,30,65,35,35,45,1
22172,0,1,2,0,12,5,20,0,-20,25,25,4,30,30,35,45,70,50,45,45,1
22169,1,3,0,5,0,-10,-35,0,-40,-20,-15,4,30,30,60,70,70,70,60,65,1
22173,2,2,3,5,10,-10,-25,0,15,0,-30,4,40,55,55,70,70,50,70,60,2
22177,2,1,2,-15,-20,-5,10,-20,-25,0,0,4,55,60,45,40,70,65,45,45,3
22170,0,1,2,0,34,20,20,5,4,20,10,4,30,30,30,45,65,30,50,45,1
22171,1,3,1,25,-19,35,15,-5,25,-20,-20,4,30,64,35,55,70,30,65,70,2
22168,2,2,3,15,15,20,20,10,5,40,25,4,40,55,30,45,60,65,30,30,2
22176,2,1,3,-10,-25,-5,10,0,-5,0,20,4,45,60,70,35,55,70,30,35,3
22179,2,0,1,5,25,-20,10,-10,35,-10,-20,5,35,30,50,35,70,30,40,50,3
22185,1,2,0,0,0,10,-20,-5,5,-5,0,5,30,30,35,50,70,30,40,45,2
22182,3,3,0,0,22,-5,-10,0,0,-5,0,5,30,42,40,65,70,30,70,70,2
22181,2,0,3,-25,-15,-40,-25,0,-25,5,-5,5,55,45,70,70,65,55,45,50,1
22183,2,2,3,-15,-35,-10,0,0,-15,-25,15,5,45,65,45,45,70,65,70,30,1
22178,2,2,3,0,-10,-5,-25,0,-5,-25,-10,5,55,70,50,65,70,70,70,55,3
22184,1,2,1,10,25,-5,15,0,-10,15,0,5,30,30,60,55,70,60,55,60,2
22186,0,3,2,-5,20,-5,25,15,-25,35,10,5,35,35,65,45,55,65,30,55,1
22187,2,0,1,5,20,30,-15,5,30,-15,-10,5,40,40,40,50,50,40,45,45,2
22180,3,3,0,0,-34,10,5,0,36,-10,10,5,30,64,50,65,70,34,70,55,1
22191,0,1,2,0,12,10,20,5,0,20,25,5,30,30,30,45,65,30,50,45,1
22193,0,2,2,0,0,25,10,0,10,10,15,5,30,30,35,45,70,50,45,45,1
22188,2,1,2,-20,-40,0,-30,0,-40,-30,-5,5,55,70,50,65,70,70,70,55,3
22192,1,0,1,15,1,10,-10,0,35,5,-40,5,30,64,35,55,70,30,65,70,1
22190,1,3,1,25,15,10,0,-5,-15,-15,-15,5,30,30,60,70,70,70,60,65,2
22194,0,2,2,-10,-25,-20,-20,0,-20,-30,-15,5,40,55,55,70,70,50,70,60,1
22196,1,3,0,10,-15,-20,-20,-20,0,-20,-20,5,30,55,60,70,70,40,65,65,2
22195,2,1,1,5,5,20,15,-10,30,-5,10,5,30,30,45,30,65,35,35,45,1
22197,2,2,3,-10,0,25,-5,-15,5,-15,-10,5,55,60,45,40,70,65,45,45,3
22189,0,1,2,-10,9,20,20,10,-31,40,25,5,40,55,30,45,60,65,30,30,1
22207,0,1,2,-15,-5,-10,35,15,-30,35,30,5,45,60,70,35,55,70,30,35,1
22205,2,0,3,5,20,-10,25,15,-15,40,5,5,35,35,65,45,55,65,30,55,1
22204,1,2,1,0,0,0,-5,0,20,5,0,5,30,30,35,50,70,30,40,45,1
22201,3,3,0,0,-12,20,5,0,40,-10,-5,5,30,42,40,65,70,30,70,70,2
22206,2,0,0,-10,-10,5,-20,15,-5,-10,0,5,40,40,40,50,50,40,45,45,1
22200,2,0,3,-15,10,-40,-25,-5,10,-15,-20,5,55,45,70,70,65,55,45,50,1
22198,2,1,2,-20,-30,5,-5,0,-35,-5,5,5,55,60,45,40,70,65,45,45,1
22202,2,2,3,-15,-35,-15,0,-5,-35,-20,15,5,45,65,45,45,70,65,70,30,3
22199,1,0,1,25,6,0,0,0,36,0,0,5,30,64,50,65,70,34,70,55,3
22203,3,1,0,0,34,-25,0,0,-30,10,10,5,30,30,60,55,70,60,55,60,1
22211,1,0,1,15,35,-15,-25,0,-5,10,-35,5,30,30,60,70,70,70,60,65,2
22208,0,3,0,-5,34,0,30,0,4,30,5,5,35,30,50,35,70,30,40,50,2
22215,2,1,2,0,-15,-15,-20,-20,-10,-25,-15,5,40,55,55,70,70,50,70,60,1
22216,2,2,1,15,30,25,5,-10,35,-5,-10,5,30,30,45,30,65,35,35,45,1
22213,3,0,0,0,-34,0,-5,0,0,-25,-25,5,30,64,35,55,70,30,65,70,3
22217,1,0,1,25,5,-15,-30,0,25,-20,-20,5,30,55,60,70,70,40,65,65,3
22212,0,2,2,0,0,30,10,5,30,5,15,5,30,30,30,45,65,30,50,45,1
22214,2,1,3,5,5,30,0,-15,15,-15,10,5,30,30,35,45,70,50,45,45,3
22209,2,1,3,0,-25,20,5,-5,-15,-25,-5,5,55,70,50,65,70,70,70,55,1
22210,0,1,2,-10,-13,10,20,10,-35,40,40,5,40,55,30,45,60,65,30,30,1
22283,1,0,1,0,0,-20,-25,0,-35,-30,-15,8,30,30,60,70,70,70,60,65,2
22279,2,2,3,-15,-20,-35,15,15,-35,5,15,8,45,60,70,35,55,70,30,35,2
22281,1,2,1,25,30,-15,-15,0,5,-10,-15,8,30,30,60,55,70,60,55,60,2
22284,2,0,1,5,25,5,35,0,20,30,10,8,35,30,50,35,70,30,40,50,1
22282,1,2,0,0,0,10,-20,-5,5,-5,0,8,30,30,35,50,70,30,40,45,3
22287,1,3,0,10,-15,-20,-20,-20,0,-20,-20,8,30,55,60,70,70,40,65,65,3
22280,1,3,1,25,3,30,5,-5,25,-25,-20,8,30,42,40,65,70,30,70,70,2
22286,2,1,3,-10,-30,20,0,-15,0,-40,25,8,45,65,45,45,70,65,70,30,3
22285,3,0,0,0,-24,5,-5,0,0,-20,-35,8,30,64,35,55,70,30,65,70,1
22278,0,1,2,-25,-6,0,0,0,-36,0,0,8,55,70,50,65,70,70,70,55,1
22397,0,3,2,-5,20,-5,25,15,-25,35,10,9,35,35,65,45,55,65,30,55,1
22391,0,0,2,-25,-15,-10,-15,5,5,10,10,9,55,45,70,70,65,55,45,50,1
22389,1,0,1,15,-4,20,-30,-15,36,-40,-20,9,30,64,50,65,70,34,70,55,2
22390,0,1,2,0,2,5,15,0,-5,35,20,9,30,40,35,50,70,35,35,50,2
22395,0,1,2,-10,9,-20,-15,0,-20,-5,10,9,40,55,55,70,70,50,70,60,1
22394,2,1,2,5,0,10,-10,0,-5,10,0,9,30,30,40,45,70,35,30,50,1
22388,2,0,1,15,30,10,15,20,30,25,10,9,40,40,40,50,50,40,45,45,1
22393,0,1,0,0,0,15,40,5,35,25,20,9,30,30,45,30,65,35,35,45,3
22392,0,2,2,-25,-30,-10,10,0,-35,-5,0,9,55,60,45,40,70,65,45,45,2
22396,1,2,1,15,25,5,-5,0,35,25,-5,9,30,40,40,50,70,30,45,35,3
22498,2,2,3,10,10,-20,30,15,0,40,20,9,45,60,70,35,55,70,30,35,3
22507,2,3,2,5,5,-25,5,-5,-25,15,-10,9,35,35,65,45,55,65,30,55,1
22506,3,0,0,0,-15,-20,-20,0,-10,-20,-30,9,30,55,60,70,70,40,65,65,2
22505,2,2,3,-5,-10,10,25,0,-15,0,30,9,45,65,45,45,70,65,70,30,1
22502,1,0,1,25,30,-15,-30,0,-5,-15,-20,9,30,30,60,70,70,70,60,65,2
22501,1,1,1,25,15,35,20,-5,25,5,5,9,30,30,35,50,70,30,40,45,1
22499,3,3,0,0,22,10,0,0,4,0,-15,9,30,42,40,65,70,30,70,70,2
22504,1,0,1,0,-34,5,-10,0,5,-35,-20,9,30,64,35,55,70,30,65,70,2
22500,1,2,1,0,10,-25,-5,0,-25,-20,-10,9,30,30,60,55,70,60,55,60,2
22503,2,0,0,-5,0,-5,-5,-5,5,-5,-5,9,35,30,50,35,70,30,40,50,3
22606,0,1,2,-10,0,5,0,0,-10,-5,5,9,40,55,55,70,70,50,70,60,1
22607,1,1,1,5,-5,25,-5,-15,35,-15,20,9,30,40,40,50,70,30,45,35,1
22598,2,0,1,5,20,30,-15,5,30,-15,-10,9,40,40,40,50,50,40,45,45,1
22605,2,2,3,15,35,5,0,0,30,40,-20,9,30,30,40,45,70,35,30,50,2
22599,0,1,2,-25,-28,-10,0,0,-40,0,15,9,55,70,50,65,70,70,70,55,1
22600,3,0,0,0,-34,10,-10,0,26,-15,5,9,30,64,50,65,70,34,70,55,3
22601,0,2,2,0,-10,0,0,0,-5,5,-5,9,30,40,35,50,70,35,35,50,3
22602,0,3,2,-25,-15,-10,0,5,15,15,15,9,55,45,70,70,65,55,45,50,3
22604,0,1,0,0,34,-10,25,5,-5,30,25,9,30,30,45,30,65,35,35,45,1
22603,2,1,2,-20,-30,5,-5,0,-35,-5,5,9,55,60,45,40,70,65,45,45,2
22615,1,0,1,0,-25,-20,-25,0,-5,-35,-15,9,30,55,60,70,70,40,65,65,3
22608,1,0,1,15,18,30,-30,-15,40,-40,-35,9,30,42,40,65,70,30,70,70,2
22609,1,2,1,25,40,-10,10,0,10,15,-5,9,30,30,60,55,70,60,55,60,2
22611,1,0,1,0,10,-25,-20,0,-35,-25,-15,9,30,30,60,70,70,70,60,65,1
22612,2,3,1,20,15,20,35,-5,25,5,0,9,35,30,50,35,70,30,40,50,2
22616,2,0,3,5,20,-10,25,15,-15,40,5,9,35,35,65,45,55,65,30,55,1
22610,3,1,0,0,34,15,15,0,4,30,10,9,30,30,35,50,70,30,40,45,1
22617,1,1,0,10,0,0,0,-20,10,0,10,9,30,40,40,50,70,30,45,35,1
22614,2,2,2,-15,-35,0,-15,-5,-30,-35,15,9,45,65,45,45,70,65,70,30,2
22613,1,0,1,25,-4,10,-15,0,35,-20,-25,9,30,64,35,55,70,30,65,70,2
22619,0,2,2,-15,-30,-10,20,15,-10,25,25,10,45,60,70,35,55,70,30,35,1
22627,0,2,2,-10,-15,-15,-20,0,-20,-25,-25,10,40,55,55,70,70,50,70,60,1
22620,0,2,2,-25,-40,-15,-15,0,-40,-30,-10,10,55,70,50,65,70,70,70,55,3
22626,2,1,3,5,5,25,0,-15,30,0,5,10,30,30,40,45,70,35,30,50,3
22618,0,3,0,-10,2,0,15,20,-10,25,25,10,40,40,40,50,50,40,45,45,3
22623,0,3,2,-25,19,-35,-15,5,-25,20,20,10,55,45,70,70,65,55,45,50,1
22625,0,1,0,0,25,15,40,5,5,30,20,10,30,30,45,30,65,35,35,45,1
22624,2,2,3,-10,5,0,5,0,0,25,-15,10,55,60,45,40,70,65,45,45,3
22621,3,3,0,0,-34,10,5,0,36,-10,10,10,30,64,50,65,70,34,70,55,1
22622,2,1,2,5,-10,15,-15,0,-5,5,0,10,30,40,35,50,70,35,35,50,1
22631,0,3,0,-5,34,0,30,0,4,30,5,10,35,30,50,35,70,30,40,50,1
22634,1,0,1,25,5,-15,-30,0,25,-20,-20,10,30,55,60,70,70,40,65,65,2
22628,3,1,0,0,12,-20,10,0,-30,15,10,10,30,30,60,55,70,60,55,60,1
22630,1,0,1,25,40,-10,-5,0,0,10,-10,10,30,30,60,70,70,70,60,65,1
22635,2,0,2,-5,-5,-20,-15,10,-30,5,-10,10,35,35,65,45,55,65,30,55,3
22629,1,2,1,15,30,35,-15,-15,40,-10,-10,10,30,30,35,50,70,30,40,45,1
22637,2,1,2,0,-15,-15,-20,-20,-10,-25,-15,10,40,55,55,70,70,50,70,60,2
22636,1,2,1,0,-10,0,-5,0,5,-15,15,10,30,40,40,50,70,30,45,35,1
22633,2,1,3,10,-20,25,25,-5,-10,-25,20,10,45,65,45,45,70,65,70,30,1
22632,1,0,1,0,-24,0,-5,0,5,-30,-20,10,30,64,35,55,70,30,65,70,3
22639,3,0,0,0,-12,-5,-15,0,0,-30,-25,10,30,42,40,65,70,30,70,70,2
22638,0,0,0,-10,-10,20,5,20,20,10,15,10,40,40,40,50,50,40,45,45,2
22644,0,3,2,-25,10,-10,0,5,-15,20,15,10,55,45,70,70,65,55,45,50,1
22640,0,1,2,-15,-30,-10,35,15,0,30,30,10,45,60,70,35,55,70,30,35,1
22647,2,2,3,10,25,15,25,0,15,40,10,10,30,30,40,45,70,35,30,50,1
22645,2,1,3,-20,-25,20,5,-15,0,-15,10,10,55,60,45,40,70,65,45,45,1
22641,2,1,2,-20,-40,0,-30,0,-40,-30,-5,10,55,70,50,65,70,70,70,55,1
22642,3,3,0,0,0,-15,-10,0,-4,-5,15,10,30,64,50,65,70,34,70,55,1
22643,2,2,3,15,25,10,-5,0,30,35,-20,10,30,40,35,50,70,35,35,50,3
22646,0,2,0,0,10,-5,20,5,-5,10,-10,10,30,30,45,30,65,35,35,45,1
22649,3,3,0,0,12,-20,-5,0,-40,10,5,10,30,30,60,70,70,70,60,65,1
22648,3,2,0,0,0,25,5,0,30,15,15,10,30,30,35,50,70,30,40,45,3
22653,1,0,1,0,-15,-25,-20,0,-5,-30,-15,10,30,55,60,70,70,40,65,65,2
22650,2,0,1,10,30,20,0,-15,40,-10,-15,10,35,30,50,35,70,30,40,50,1
22654,2,3,3,20,10,5,25,10,-10,15,-5,10,35,35,65,45,55,65,30,55,1
22656,2,2,2,-10,-25,-10,-40,-5,-15,-35,-15,10,40,55,55,70,70,50,70,60,1
22655,1,2,1,25,20,5,-10,0,35,0,10,10,30,40,40,50,70,30,45,35,2
22652,0,1,2,-15,-1,5,20,0,-31,0,25,10,45,65,45,45,70,65,70,30,3
22651,1,0,1,25,6,15,10,0,40,5,-15,10,30,64,35,55,70,30,65,70,3
22657,2,1,2,10,10,0,5,-20,5,15,-5,11,30,30,40,45,70,35,30,50,1
22295,0,0,2,-25,-5,-30,-20,5,-25,0,-15,11,55,45,70,70,65,55,45,50,1
22296,2,2,3,-15,-5,10,30,0,-15,25,15,11,55,60,45,40,70,65,45,45,1
22291,0,1,2,-15,4,-35,20,15,-40,35,35,11,45,60,70,35,55,70,30,35,1
22290,1,3,0,5,-12,10,-30,0,0,-30,-20,11,30,42,40,65,70,30,70,70,2
22288,0,0,0,-10,-10,-5,0,20,-10,-5,0,11,40,40,40,50,50,40,45,45,1
22297,2,2,1,0,0,-5,15,5,0,-5,5,11,30,30,45,30,65,35,35,45,2
22292,2,2,3,-10,-5,-5,-20,0,-5,0,-25,11,55,70,50,65,70,70,70,55,3
22293,3,3,0,0,-9,10,5,0,6,-5,10,11,30,64,50,65,70,34,70,55,1
22294,2,1,3,5,-5,30,-5,-15,30,-5,5,11,30,40,35,50,70,35,35,50,1
22289,3,1,0,0,0,0,15,0,10,5,5,11,30,30,60,55,70,60,55,60,1
22303,0,3,2,-5,29,-15,20,15,-31,40,0,11,35,35,65,45,55,65,30,55,1
22301,2,2,3,0,-5,25,-10,-15,5,-40,5,11,45,65,45,45,70,65,70,30,1
22300,3,3,0,0,-22,5,10,0,0,5,0,11,30,64,35,55,70,30,65,70,1
22298,3,0,0,0,0,-25,-20,0,-40,-20,-20,11,30,30,60,70,70,70,60,65,2
22299,0,0,0,-5,0,10,20,0,30,15,10,11,35,30,50,35,70,30,40,50,1
22305,2,1,3,15,-10,15,0,-5,5,-25,-10,11,40,55,55,70,70,50,70,60,3
22304,1,2,1,0,0,-5,0,0,5,-10,15,11,30,40,40,50,70,30,45,35,1
22306,2,2,3,25,30,5,-5,0,30,15,-5,11,30,30,40,45,70,35,30,50,1
22302,1,0,1,25,15,-10,-5,0,30,5,-10,11,30,55,60,70,70,40,65,65,2
22307,2,1,0,10,10,-5,20,-15,5,10,0,11,30,30,45,30,65,35,35,45,3
22312,0,1,2,-15,-5,-10,35,15,-30,35,30,11,45,60,70,35,55,70,30,35,1
22311,1,0,1,15,23,5,-20,0,35,0,-40,11,30,42,40,65,70,30,70,70,2
22310,3,1,0,0,34,-25,0,0,-30,10,10,11,30,30,60,55,70,60,55,60,3
22308,0,3,0,-10,-10,20,20,20,30,15,20,11,40,40,40,50,50,40,45,45,2
22316,2,0,3,-25,-15,-30,-25,5,-20,-15,0,11,55,45,70,70,65,55,45,50,1
22317,2,2,2,-25,-30,0,-10,-5,-30,-10,0,11,55,60,45,40,70,65,45,45,1
22313,2,1,3,-20,-35,15,-20,-15,-5,-40,0,11,55,70,50,65,70,70,70,55,1
22314,3,0,0,0,-24,-10,-15,0,-4,-25,-20,11,30,64,50,65,70,34,70,55,2
22315,2,2,3,10,15,20,20,0,15,35,10,11,30,40,35,50,70,35,35,50,1
22309,1,1,0,5,0,15,-15,0,0,0,5,11,30,30,35,50,70,30,40,45,3
22318,0,3,0,-5,0,10,35,0,40,20,15,11,35,30,50,35,70,30,40,50,2
22324,0,1,2,-10,9,-5,-5,0,-16,0,-5,11,40,55,55,70,70,50,70,60,2
22319,3,0,0,0,-34,0,-5,0,0,-25,-25,11,30,64,35,55,70,30,65,70,2
22322,2,0,3,10,25,5,-10,0,5,0,-20,11,35,35,65,45,55,65,30,55,1
22323,1,2,1,25,30,10,15,0,40,25,20,11,30,40,40,50,70,30,45,35,2
22325,2,2,3,0,10,-5,5,0,0,5,0,11,30,30,40,45,70,35,30,50,1
22326,2,1,1,25,15,25,40,0,20,10,5,11,30,30,45,30,65,35,35,45,1
